model,rating,reviews,memory,size,camera,battery,processor,warranty,price,original_price,discounted_percentage
"realme Narzo N53 (Feather Gold, 64 GB)",4.2,"6,130 Ratings & 364 Reviews",4 GB RAM | 64 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery,Domestic 1 Year on Handset and 6 Months on Accessories,No Warranty,"₹7,915","₹10,999",28% off
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",4.2,"1,02,808 Ratings & 5,927 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD Display,13MP + 2MP | 5MP Front Camera,5000 mAh Lithium-Ion Battery,Mediatek Helio P35 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"₹7,999","₹11,499",30% off
"POCO X6 5G (Snowstorm White, 256 GB)",4.2,"5,354 Ratings & 873 Reviews",8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,64MP + 8MP + 2MP | 16MP Front Camera,5100 mAh Battery,7s Gen 2 Mobile Platform 5G Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹20,999","₹24,999",16% off
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)",4.4,"63,359 Ratings & 4,441 Reviews",8 GB RAM | 256 GB ROM,17.07 cm (6.72 inch) Display,108MP Rear Camera,5000 mAh Battery,Domestic Warranty of 12 months on phone & 6 months on accessories,No Warranty,"₹19,949","₹21,999",9% off
"REDMI 12 (Pastel Blue, 128 GB)",4.3,"96,022 Ratings & 5,242 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G88 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"₹9,499","₹14,999",36% off
"Motorola g14 (Sky Blue, 128 GB)",4.1,"43,753 Ratings & 3,825 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,T616 Processor,Immersive Stereo Speakers with Dolby Atmos,"₹8,499","₹12,999",34% off
"realme Narzo 60X 5G (Stellar Green, 128 GB)",4.3,"3,212 Ratings & 223 Reviews",6 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,50MP Rear Camera,5000 mAh Battery,Domestic Warranty 1 Year For Handset and 6 Months For Accessories.,No Warranty,"₹12,757","₹15,999",20% off
"IQOO Z7s 5G (Pacific Night, 128 GB)",4.3,"2,776 Ratings & 179 Reviews",8 GB RAM | 128 GB ROM,16.21 cm (6.38 inch) Display,64MP Rear Camera,4500 mAh Battery,Domestic 1 Year on Handset and 6 Months on Accessories,No Warranty,"₹16,750","₹24,999",32% off
"realme Narzo N53 (Feather Black, 128 GB)",4.2,799 Ratings & 52 Reviews,8 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery,Domestic 1 Year on Handset and 6 Months on Accessories,No Warranty,"₹9,110","₹13,999",34% off
"REDMI 12 5G (Pastel Blue, 128 GB)",4.3,"6,497 Ratings & 394 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹11,999","₹15,999",25% off
"IQOO Z7S 5G (Pacific Night, 128 GB)",4.3,"2,776 Ratings & 179 Reviews",8 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Display,64MP Rear Camera,4500 mAh Battery,"1 Year for  handset ,6 months for accessories",No Warranty,"₹16,434","₹24,999",34% off
Kechaoda K112,4,"25,352 Ratings & 2,525 Reviews",32 MB RAM | 64 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) QVGA Display,0.3MP + 0MP | 0MP Front Camera,3600 mAh Battery,No Processor,no warranty,"₹1,590","₹1,999",20% off
"REDMI 12 (Pastel Blue, 128 GB)",4.2,"41,261 Ratings & 2,916 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G88 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"₹10,499","₹15,999",34% off
"Nothing Phone (2a) 5G (Black, 256 GB)",4.6,306 Ratings & 28 Reviews,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP (OIS) + 50MP | 32MP Front Camera,5000 mAh Battery,Dimensity 7200 Pro Processor,1 Year Manufacturing Warranty,"₹27,999","₹29,999",6% off
"IQOO Z7S 5G (Norway Blue, 128 GB)",4.3,"2,776 Ratings & 179 Reviews",8 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Display,64MP Rear Camera,4500 mAh Battery,"1 Year for  handset ,6 months for accessories",No Warranty,"₹15,620","₹24,999",37% off
