time_id,order_year,quarter
t457,2016,Q3
t458,2016,Q3
t459,2016,Q3
t460,2016,Q3
t461,2016,Q3
t462,2016,Q3
t463,2016,Q3
t464,2016,Q3
t465,2016,Q3
t466,2016,Q3
t467,2016,Q3
t468,2016,Q3
t469,2016,Q3
t470,2016,Q3
t471,2016,Q3
t472,2016,Q3
t473,2016,Q3
t474,2016,Q3
t475,2016,Q3
t476,2016,Q3
t477,2016,Q3
t478,2016,Q3
t479,2016,Q3
t480,2016,Q3
t481,2016,Q3
t482,2016,Q3
t483,2016,Q3
t484,2016,Q3
t485,2016,Q3
t486,2016,Q3
t487,2016,Q3
t488,2016,Q3
t489,2016,Q3
t490,2016,Q3
t491,2016,Q3
t492,2016,Q3
t493,2016,Q3
t494,2016,Q3
t495,2016,Q3
t496,2016,Q3
t497,2016,Q3
t498,2016,Q3
t499,2016,Q3
t500,2016,Q3
t501,2016,Q3
t502,2016,Q3
t503,2016,Q3
t504,2016,Q3
t505,2016,Q3
t506,2016,Q3
t507,2016,Q3
t508,2016,Q3
t509,2016,Q3
t510,2016,Q3
t511,2016,Q3
t512,2016,Q3
t513,2016,Q3
t514,2016,Q3
t515,2016,Q3
t516,2016,Q3
t517,2016,Q3
t518,2016,Q3
t519,2016,Q3
t520,2016,Q3
t521,2016,Q3
t522,2016,Q3
t523,2016,Q3
t524,2016,Q3
t525,2016,Q3
t526,2016,Q3
t527,2016,Q3
t528,2016,Q3
t529,2016,Q3
t530,2016,Q3
t531,2016,Q3
t532,2016,Q3
t533,2016,Q3
t534,2016,Q3
t535,2016,Q3
t536,2016,Q3
t537,2016,Q3
t538,2016,Q3
t539,2016,Q3
t540,2016,Q3
t541,2016,Q3
t542,2016,Q3
t543,2016,Q3
t544,2016,Q3
t545,2016,Q3
t546,2016,Q3
t547,2016,Q3
t548,2016,Q3
t549,2016,Q3
t550,2016,Q3
t551,2016,Q3
t552,2016,Q3
t553,2016,Q3
t554,2016,Q3
t555,2016,Q3
t556,2016,Q3
t557,2016,Q3
t558,2016,Q3
t559,2016,Q3
t560,2016,Q3
t561,2016,Q3
t562,2016,Q3
t563,2016,Q3
t564,2016,Q3
t565,2016,Q3
t566,2016,Q3
t567,2016,Q3
t568,2016,Q3
t569,2016,Q3
t570,2016,Q3
t571,2016,Q3
t572,2016,Q3
t573,2016,Q3
t574,2016,Q3
t575,2016,Q3
t576,2016,Q3
t577,2016,Q3
